news_ID,news_Title,news_Text,news_DateAdded,news_Active,news_Gallery,news_YouTubeId
2,"Christmas Collection - Bethlehem, the birthplace of Jesus","<p>
	<a href=""http://holylandphotos.org/browse.asp?s=1,2,6,15,104&amp;thumbs=1""><img alt="""" src=""/UserFiles/Image/GrottoStar1.jpg"" style=""width: 200px; height: 134px; margin-left: 5px; margin-right: 5px; float: left;"" /></a>To view <strong><em>all 28 images</em></strong> of Bethlehem <a href=""browse.asp?s=1,2,6,15,104&amp;thumbs=1"" target=""_blank"">Click Here</a>.</p>
",7/22/2003 4:45:00PM,False,,
5,Gordon's Calvary and Garden Tomb,"<p>Many Protestants believe that these two sites were the places of the Crucifixion and Burial of Jesus.&#160; To ""tour"" this collection&#160;<a href=""/browse_collection.asp?col_ID=24"" target=""_blank"">Click Here</a>.</p>
",9/9/2003 7:27:00PM,False,,
6,Last Week of the Life of Jesus,"<p>
	<strong><a href=""http://holylandphotos.org/browse.asp?s=1,2,6,19,321,324&amp;img=IJNTHSTM01"" target=""_blank""><img alt="""" src=""/userfiles/images/IJNTHSTM01_400(1).jpg"" style=""width: 400px; height: 267px; margin-left: 5px; margin-right: 5px; float: left;"" /></a>The following &ldquo;sites&rdquo; are related to the Last Week of Jesus&rsquo; earthly ministry and his crucifixion and resurrection.</strong></p>
<p>
	Don&rsquo;t miss what WAS the best-preserved &ldquo;<a href=""go.asp?img=ICSHMD20"" target=""_blank"">Rolling Stone Tomb</a>&rdquo; in Israel &mdash; until it was destroyed.</p>
<p>
	<a href=""go.asp?s=321"" target=""_blank"">Church of the Holy Sepulcher </a>&mdash; probable site of crucifixion and burial/resurrection of Jesus.&nbsp; We have 81(!) images in 12 folders just of this Church!</p>
<p>
	<a href=""go.asp?img=IJNTGT02"" target=""_blank"">Gordon&rsquo;s Calvary</a> and <a href=""go.asp?s=46"" target=""_blank"">Garden Tomb</a> &mdash; alternative (Protestant) site of crucifixion and burial/resurrection of Jesus.</p>
<p>
	<a href=""go.asp?s=42"" target=""_blank"">Gethsemane</a> &mdash; site of Jesus praying and his arrest.</p>
<p>
	<a href=""go.asp?s=451"" target=""_blank"">Mount of Olives</a> &mdash; site of Palm Sunday entrance into Jerusalem and Jesus&rsquo; &ldquo;Olivet Discourse.&rdquo;</p>
<p>
	<a href=""go.asp?s=114"" target=""_blank"">Via Dolorosa</a> &mdash; sacred pilgrim route in Jerusalem.</p>
",11/11/2003 6:26:00PM,False,,
9,Holy Week and Easter - Click on Image for More Photos,"<p>The following &ldquo;sites&rdquo; are related to the Last Week of Jesus&rsquo; earthly ministry and his crucifixion and resurrection.</p>

<p>Don&rsquo;t miss what WAS <strong>the best-preserved</strong> &ldquo;<a href=""go.asp?img=ICSHMD20"" target=""_blank"">Rolling Stone Tomb</a>&rdquo; in Israel &mdash; until it was destroyed.</p>

<p><a href=""/go.asp?img=IJNTGT02"" target=""_blank"">Gordon&rsquo;s Calvary</a> and <a href=""/go.asp?s=46"" target=""_blank"">Garden Tomb</a> &mdash; alternative (Protestant) site of crucifixion and burial/resurrection of Jesus.</p>

<p><a href=""/go.asp?s=321"" target=""_blank"">Church of the Holy Sepulcher</a> &mdash; probable site of crucifixion and burial/resurrection of Jesus.</p>

<p><a href=""go.asp?s=42"" target=""_blank"">Gethsemane</a>/Church of All Nations &mdash; site of Jesus praying and his arrest.&nbsp; There is a lesser known alternative site of Gethsemane located on the grounds of <a href=""go.asp?img=IJNTMLMM01"" target=""_blank"">Mary Magdalene Church</a>.</p>

<p><a href=""/go.asp?s=451"" target=""_blank"">Mount of Olives</a> &mdash; site of <strong>Palm Sunday</strong> entrance into Jerusalem and Jesus&rsquo; &ldquo;Olivet Discourse.&rdquo;</p>

<p><a href=""/go.asp?s=114"" target=""_blank"">Via Dolorosa</a> &mdash; sacred pilgrim route in Jerusalem.</p>

<hr />
<p><strong>Sunday Service Hint</strong><br />
If you use Power Point Presentations during your worship services you are welcome to download and use our images.<br />
Click on &ldquo;Power Point Download&rdquo; for Power Point size images.</p>
",1/29/2004 8:23:00PM,True,"ICSHMD20|Rolling Stone Tomb — Khirbet Midras.
DLPLTRCT01|Crown of Thorns.
IJNTHSCL33|Greek Orthodox Calvary—Church of Holy Sepulcher in Jerusalem.
IJNTHSTM01|Holy Sepulcher — Tomb of Jesus.
IJNTGTGC01|Gordon's Calvary.
IJNTGTGT01|Garden Tomb.
IJNTGE05|Gethsemane — traditional site.
IJIM06|Heal bone of a man who was crucified—with the nail still in place.
IJIM10|Ossuary (bone box) of ""Joseph 'son' of Caiaphas"" — John 12:50.

",
19,Church of the Holy Sepulcher (aka Church of the Resurrection),,3/21/2005 1:38:00PM,False,"IJNTHS51|The ""Tomb of Jesus"" is under the largest grey dome.
IJNTHS56|The main entrance to the Church of the Holy Sepulcher. It dates to the days of the Crusaders (ca. A.D. 1144)
IJNTHS63|The famous ""ladder"" that no one seems to have permission to move!",
20,How to Find a Site,"<p>
	To find a complete listing of sites, <a href=""http://holylandphotos.org/page.asp?page_ID=8"">Click Here</a> and scroll down through the list of Countries or use the find function in your browser.&nbsp; You can also type in the name of the site in the &quot;Keyword Search&quot; window above.</p>
",3/23/2005 6:06:00PM,False,,
21,Dr. Rasmussen's Bible Atlas BACK ON SALE $14.99!  (63% OFF!!),"<p>
	<a href=""http://www.christianbook.com/zondervan-atlas-of-the-bible/carl-rasmussen/9780310270508/pd/270505?event=AFF&amp;p=1165647&amp;"" target=""_blank""><img alt="""" src=""/UserFiles/AtlasCover01.jpg"" style=""float: left; width: 150px; height: 200px; margin-left: 15px; margin-right: 15px;"" /></a>The revised edition of Dr. Carl Rasmussen&#39;s award winning <em>The Zondervan Atlas of the Bible </em>is now available for <a href=""http://www.christianbook.com/zondervan-atlas-of-the-bible/carl-rasmussen/9780310270508/pd/270505?event=AFF&amp;p=1165647&amp;"" target=""_blank"">$14.99</a>.&nbsp; The expanded, 303 page, <span style=""font-style: italic;"">Atlas</span> has all new maps (including 3D maps), photos, and revised text.&nbsp; (Normally $39.99 = 63% OFF!!).</p>
<p>
	It is also available at Amazon.com for <a href=""http://www.amazon.com/exec/obidos/ASIN/0310270502/holylandphoto-20"" target=""_blank"">$22.37 at amazon.com</a></p>
<p>
	A perfect Christmas Gift.</p>
",5/3/2005 10:27:00PM,False,,
22,Coming Tomorrow,"<p>Tomorrow we will begin loading images of the Pools of Bethesda (John 5) that are located in the Old City of Jerusalem.</p>
<p>&nbsp;</p>",7/13/2008 9:30:00PM,False,,
24,An Easy Way to Know What New Images Have Been Added,"<p>
	We are constantly (almost daily) adding images to our site.&nbsp; Have you often wondered what we have added?&nbsp; An easy way to be alerted to what is new and available for you to use is to add our RSS Feed to your RSS Reader.</p>
<p>
	RSS is particularily useful to keep up-to-date as to what we have been adding.</p>
<p>
	If you want to find out more about what RSS is and some recomended &quot;readers&quot; <a href=""http://whatisrss.com/"" target=""_blank"">Click Here</a>.&nbsp; FWIW some of us use&nbsp;&quot;<span style=""font-weight: bold;"">netvibes.com</span>&quot; &nbsp;which is elegant and very simple to use.</p>
<p>
	If you want to add our RSS feed to your reader <a href=""http://holylandphotos.org/rss/"" target=""_blank"">Click Here</a> <strong>and copy the <u>URL</u></strong> (the page will look like you have made a mistake-<u>COPY THE URL</u>!)&nbsp;and <u>then paste it</u>&nbsp;into your reader at the appropriate spot.</p>
<p>
	PS: Besides using RSS to keep up to date with developments at HolyLandPhotos.org, some people even use it to keep up-to-date with the news via the BBC and CNN RSS feeds (smile, wink).</p>
",4/20/2006 8:23:00AM,False,,
25,The Herodium - King Herod's Tomb,"<p>Our featured site this week is the <a href=""go.asp?s=38"" target=""_blank"">Herodium</a>.&nbsp; Recently archaeologists claim to have found the tomb of Herod the Great on the northeast slope of the Herodium.&nbsp; To view images of the excavation and the reconstructed sarcophagus - <a href=""http://www.hunews.huji.ac.il/articles.asp?cat=6&amp;artID=773"" target=""_blank"">Click Here</a>.<br />
&nbsp;</p>
",6/2/2006 9:27:00PM,False,"ICHJHRHT31|North slope of the Herodium where the Tomb Monument and Odeum were found.
ICHJHRHT10|Foundation of the Tomb Monument.
ICHJHRHT42|Fresco from the Royal Box.
ICHJHRHT41|Herod's Sarcophagus.
ICHJHRHT40|Archetectural Remains.
IFOP201404|For a few details on our adult ""Study Tour"" to Turkey and Greece—May 2019|page.asp?page_ID=50
",
26,Traveling to Greece and/or Turkey?,"<br />
<p>
	<a href=""http://www.amazon.com/exec/obidos/ASIN/0195139186/holylandphoto-20"" target=""_blank""><img alt="""" src=""/userfiles/images/FantReddishSmall.jpg"" style=""width: 199px; height: 300px; margin-left: 20px; margin-right: 20px; float: left;"" /></a>The <span style=""font-weight: bold;"">best</span> guide book to biblical sites in <em><strong>Greece and Turkey</strong></em> is Fant and Reddish&#39;s &nbsp;<span style=""font-style: italic;""><a href=""http://www.amazon.com/exec/obidos/ASIN/0195139186/holylandphoto-20"" target=""_blank"">A Guide to Biblical Sites in Turkey and Greece.</a>&nbsp; </span>For $24.25 (also available in Kindle edition).</p>
<p>
	The <strong>best guide book <u>for Turkey</u></strong> is Mark Wilson&#39;s <a href=""http://www.amazon.com/exec/obidos/ASIN6055607352/holylandphoto-20"" target=""_blank""><em>Biblical Turkey: A Guide to Jewish and Christian Sites of Asia Minor.</em></a>&nbsp; For $35.96.</p>
",9/21/2006 1:45:00PM,False,,
27,Images,For some reason our images are not showing at this time (23:00 GMT).&nbsp; Your patience is appreicated.,9/23/2006 1:14:00PM,False,,
28,What's New?,"<a href=""http://holylandphotos.org/whats_new.asp?d=w1"">Click Here.</a>",10/22/2006 8:07:00PM,False,,
29,Used Books for Sale 20% OFF!,"<br />All books priced at $xx.07 and $xx.06 are 20% off!&nbsp; Minimum, $5.00 per book (= a free book!!&nbsp; $5.00&nbsp; pays for shipping!).&nbsp;&nbsp; <a href=""page.asp?page_ID=15"">Click Here</a> to view, and note the various subcategories.&nbsp; More will be posted in the coming months.",12/28/2006 7:49:00AM,False,,
30,Via Dolorosa (Stations of the Cross),"<p>
	For those interested in viewing the stations of the cross in Jerusalem - along the Via Dolorosa - <a href=""go.asp?s=114"">Click Here</a>.</p>
",3/21/2007 11:32:00AM,False,,
31,Herod's Tomb at the Herodium,"To view the recently discovered Tomb of Herod the Great (37-4 B.C.) <a href=""go.asp?s=418"">Click Here</a>.",7/26/2007 6:29:00PM,False,,
32,Books For Sale,"<br /><a href=""page.asp?page_ID=27"">Click Here</a> to view 32 titles related to <span style=""font-weight: bold; text-decoration: underline;"">Ancient Near Eastern Studies</span> that are for sale.&nbsp; <br /><br />These include <span style=""font-weight: bold;"">technical</span> works such as:<br /><br />Kupper, Jean-Robert.&nbsp; <span style=""font-style: italic;"">Les nomads en Mesopotamie au temps des rois de Mari</span>.&nbsp; Paris:<br />Societe d&rsquo;Edition &ldquo;Les Belles Lettres,&rdquo; 1968.&nbsp; [Very good condition, hardcover<br />without cover jacket] - $50.09.<br /><br />As well as <span style=""font-weight: bold;"">non-techinical</span> books such as:<br /><br />Saggs, H. W. F.&nbsp; <span style=""font-style: italic;"">The Greatness that was Babylon: A Sketch of the Ancient Civilization of</span><br style=""font-style: italic;"" /><span style=""font-style: italic;"">the Tigris-Euphrates Valley</span>.&nbsp; New York: Mentor: 1962.&nbsp; [Paperback, used condition, ink markings in text] - $6.09.<br /><br /><span style=""font-weight: bold; text-decoration: underline;"">Prices include shipping</span> within the continental United States.",10/15/2007 6:16:00PM,False,,
33,Problems With HolyLandPhotos,We are having server problems and are attempting to correct them (10 April - 13:30 GMT).,4/9/2008 6:31:00PM,False,,
34,Traveling to Israel?,"<p>
	<a href=""http://www.amazon.com/exec/obidos/ASIN/0199236666/holylandphoto-20"" target=""_blank""><img alt="""" src=""/userfiles/images/JMOBookSmall.jpg"" style=""width: 190px; height: 300px; margin: 0px 20px; float: left;"" /></a>If you are traveling to Israel, the <u><strong>best</strong></u> guide book to archaeological sites is Jerome Murphy-O&#39;Connor&#39;s <em><strong>The Holyland: An Oxford Archaeological Guide,</strong></em> but be sure to have the 5th edition!!&nbsp; <a href=""http://www.amazon.com/exec/obidos/ASIN/0199236666/holylandphoto-20"" target=""_blank"">Click Here</a> to purchase for&nbsp; $29.39.&nbsp; It is also available in <a href=""http://www.amazon.com/Holy-Land-Oxford-Archaeological-ebook/dp/B001AV73NK/holylandphoto-20"" target=""_blank"">Kindle Format</a>.</p>
",4/13/2008 6:59:00PM,False,,
36,Holy Week,"<p>
	<a href=""http://holylandphotos.org/browse.asp?s=1,2,6,19,321,324&amp;img=IJNTHSTM01"" target=""_blank""><img alt="""" src=""/userfiles/images/IJNTHSTM01_400.jpg"" style=""width: 400px; height: 267px; margin-left: 20px; margin-right: 20px; float: left;"" /></a>This week we will be featuring images connected with Jesus&#39; final week in Jerusalem.</p>
<p>
	To the left is a link to the tomb of Jesus located in the <a href=""go.asp?s=321"" target=""_blank"">Church of the Holy Sepulcher</a>.</p>
<p>
	For many other images note the following: <a href=""go.asp?img=IJNTMDTB03"" target=""_blank"">the temple in Jerusalem</a>, <a href=""go.asp?img=IJNTMZ08"" target=""_blank"">Upper Room</a>, <a href=""go.asp?s=472"" target=""_blank"">Saint Mark&#39;s Church</a>,&nbsp; <a href=""go.asp?s=42"" target=""_blank"">Gethsemane</a>, House of Caiaphas (<a href=""go.asp?img=IJNTMZSP14"" target=""_blank"">St. Peter in Gallicantu</a>),&nbsp; <a href=""go.asp?s=114"" target=""_blank"">Via Dolorosa</a>,&nbsp; <a href=""go.asp?s=46"" target=""_blank"">Gordon&#39;s Calvary and the Garden Tomb</a>, the best <a href=""go.asp?img=ICSHMD20"" target=""_blank"">rolling stone tomb</a> in Israel.</p>
<p>
	&nbsp;</p>
<p>
	To view the most recent image additions <a href=""http://holylandphotos.org/whats_new.asp?d=w1"">Click Here</a>.</p>
",7/27/2008 3:20:00PM,False,,
37,Patara Lighthouse,"<p>The lighthouse at Patara (Tukrkey) is probably the <strong>oldest preserved lighthouse in the world</strong>!&nbsp; Paul changed ships here at Patara on his way to Jerusalem at the end of his third journey (Acts 21:1-3).&nbsp; The lighthouse may have been recently constructed and/or under construction at that time!</p>
",8/1/2008 8:07:00AM,False,"TWTQPTLH01|Lighthouse at Patara (Acts 21:1-3).
TWTQPTLH04|Examining the Lighthouse.
TWTQPTLH05|Entrance to the Tower of the Lighthouse.
TWTQPTLH07|Interior of the Lighthouse.
IFOP201302|Philippi — where Lydia was converted.  Our May 2019 tour to Turkey and Greece will visit this place|/page.asp?page_ID=50",
