id,slug,title,country,ancestry,lat,lon,source,confidence,wikidata_id,notes
37,capernaum,Capernaum,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,32.881111111111,35.575,wikidata,high,Q59174,"matched 'Capernaum' (village at Lake Tiberias in the north of historical Judea, associated with Jesus) — archaeological/historic class; country match"
38,herodium,Herodium,Israel,Hill Country of Judah / Central / Israel / Browse by Countries,,,,none,,no match
40,jericho-ot,Jericho OT,Israel,Jordan Valley / Central / Israel / Browse by Countries,31.781297,35.2388827,nominatim,low,,"matched 'יריחו, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9119001, ישראל'"
41,kqatzrin-qasrin,K/Qatzrin Qasrin,Israel,Golan (4 folders) / North / Israel / Browse by Countries,30.6608842,35.2599004,nominatim,low,,"matched 'K, מועצה אזורית הערבה התיכונה, נפת באר שבע, מחוז הדרום, ישראל'"
42,gethsemane,Gethsemane,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.779419,35.239425,wikidata,low,Q205333,matched 'Gethsemane' (garden at the foot of the Mount of Olives in Jerusalem) — country match
45,western-wall,Western Wall,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.776947222222223,35.23425,wikidata,high,Q134821,matched 'Western Wall' (holy site of Judaism in Jerusalem) — archaeological/historic class; country match
46,garden-tomb-gordons-calvary,Garden Tomb & Gordon's Calvary,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.8191347,34.9901838,nominatim,low,,"matched 'Garden, דוד בן גוריון, המושבה הגרמנית, רובע העיר התחתית, חיפה, נפת חיפה, מחוז חיפה, 3505526, ישראל'"
47,family-tomb-of-herod,Family Tomb of Herod,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7803178,35.2321397,nominatim,low,,"matched 'التكية النمساوية للعائلة المقدسة, 37, ויה דולורוזה, הרובע המוסלמי, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושל'"
48,rabbinic-tunnels,Rabbinic Tunnels,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
49,views-of-sea-of-galilee,Views of Sea of Galilee,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,,,,none,,no match
50,kidron-valley-tombs,Kidron Valley Tombs,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.8123,34.8003,wikidata,low,Q588697,matched 'Kidron' (human settlement in Israel) — country match
51,jasons-tomb,Jason's Tomb,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.77313333,35.21313333,wikidata,low,Q2906579,"matched 'Jason's Tomb' (tomb in Jerusalem, Israel) — country match"
52,western-wall-excavations,Western Wall Excavations,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.908004,35.2882554,nominatim,low,,"matched 'שדרות נשיאי ישראל, כרמיאל, הדרומית, רמת רבין, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל'"
