type,id,title,issues,admin_url,public_url
sections,25,Biblical Negev,inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/sections/25,https://holy-land-photos.vercel.app/browse/biblical-negev
sections,62,Colossae,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/62,https://holy-land-photos.vercel.app/browse/colossae
sections,79,Aegina,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/79,https://holy-land-photos.vercel.app/browse/aegina
sections,182,Nazareth Basilica of Annunciation Interior,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/182,https://holy-land-photos.vercel.app/browse/nazareth-basilica-of-annunciation-interior
sections,184,Andriace (Andriake),inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/184,https://holy-land-photos.vercel.app/browse/andriace-andriake
sections,189,Patara,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/189,https://holy-land-photos.vercel.app/browse/patara
sections,285,Thessalonica City,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/285,https://holy-land-photos.vercel.app/browse/thessalonica-city
sections,400,Theater,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/400,https://holy-land-photos.vercel.app/browse/theater-400
sections,402,Churches,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/402,https://holy-land-photos.vercel.app/browse/churches
sections,412,Kathisma Church,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/412,https://holy-land-photos.vercel.app/browse/kathisma-church
sections,429,Patara Lighthouse and Granary,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/429,https://holy-land-photos.vercel.app/browse/patara-lighthouse-and-granary
sections,437,Sussita/Hippos,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/437,https://holy-land-photos.vercel.app/browse/sussitahippos
sections,440,Mount Gerizim,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/440,https://holy-land-photos.vercel.app/browse/mount-gerizim
sections,448,Kedesh,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/448,https://holy-land-photos.vercel.app/browse/kedesh
sections,457,Tyropoeon (Central Valley) Street,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/457,https://holy-land-photos.vercel.app/browse/tyropoeon-central-valley-street
sections,462,Beth Shemesh,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/462,https://holy-land-photos.vercel.app/browse/beth-shemesh
sections,463,Lachish,inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/463,https://holy-land-photos.vercel.app/browse/lachish
sections,477,Shechem,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/477,https://holy-land-photos.vercel.app/browse/shechem
sections,484,Aizanoi,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/484,https://holy-land-photos.vercel.app/browse/aizanoi
sections,488,Atlas Images,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/488,https://holy-land-photos.vercel.app/browse/atlas-images
sections,503,Syria,embedded-css,https://holy-land-photos.vercel.app/admin/collections/sections/503,https://holy-land-photos.vercel.app/browse/syria
sections,508,Jabbok River Area,embedded-css,https://holy-land-photos.vercel.app/admin/collections/sections/508,https://holy-land-photos.vercel.app/browse/jabbok-river-area
sections,511,Sinai Peninsula,embedded-css,https://holy-land-photos.vercel.app/admin/collections/sections/511,https://holy-land-photos.vercel.app/browse/sinai-peninsula
sections,548,Antandros,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/548,https://holy-land-photos.vercel.app/browse/antandros
sections,553,Tomb of Annas,inline-image; inline-style; div,https://holy-land-photos.vercel.app/admin/collections/sections/553,https://holy-land-photos.vercel.app/browse/tomb-of-annas
sections,556,Nazareth the City,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/556,https://holy-land-photos.vercel.app/browse/nazareth-the-city
sections,557,Nazareth Basilica of Annunciation Exterior,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/557,https://holy-land-photos.vercel.app/browse/nazareth-basilica-of-annunciation-exterior
sections,558,Mamshit,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/558,https://holy-land-photos.vercel.app/browse/mamshit
sections,561,Daily Life,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/561,https://holy-land-photos.vercel.app/browse/daily-life
sections,569,Adada,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/569,https://holy-land-photos.vercel.app/browse/adada
sections,570,Sagalassos Upper City,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/570,https://holy-land-photos.vercel.app/browse/sagalassos-upper-city
sections,571,Sagalassos Upper Agora,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/571,https://holy-land-photos.vercel.app/browse/sagalassos-upper-agora
sections,574,Ephesus Paul and Thecla Cave,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/574,https://holy-land-photos.vercel.app/browse/ephesus-paul-and-thecla-cave
sections,576,Sinope Museum,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/576,https://holy-land-photos.vercel.app/browse/sinope-museum
sections,584,Samos,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/584,https://holy-land-photos.vercel.app/browse/samos
sections,3609,Magdala Site,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/3609,https://holy-land-photos.vercel.app/browse/magdala-site
sections,3616,Durres Museum,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/3616,https://holy-land-photos.vercel.app/browse/durres-museum
sections,3623,Cos Museum,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/sections/3623,https://holy-land-photos.vercel.app/browse/cos-museum
photos,15,Gate Tower 2 Detail,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/15,https://holy-land-photos.vercel.app/photos/ICSASA10
photos,56,Eastern Entrance 1,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/56,https://holy-land-photos.vercel.app/photos/INGLDA04
photos,58,Interior 3,div,https://holy-land-photos.vercel.app/admin/collections/photos/58,https://holy-land-photos.vercel.app/photos/INGLDA11
photos,59,Architectural Fragment 1,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/59,https://holy-land-photos.vercel.app/photos/INGLDA13
photos,71,Panorama Route,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/71,https://holy-land-photos.vercel.app/photos/INLGHA70
photos,79,Cedar and Snow,div,https://holy-land-photos.vercel.app/admin/collections/photos/79,https://holy-land-photos.vercel.app/photos/LNBCCT03
photos,179,Early Shrine Interior,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/179,https://holy-land-photos.vercel.app/photos/INHVOM16
photos,317,Hadrian Inscription,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/317,https://holy-land-photos.vercel.app/photos/ICSPCMHL04
photos,408,Center of World,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/408,https://holy-land-photos.vercel.app/photos/IJNTHSGC12
photos,436,Samaritan Inscription,inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/436,https://holy-land-photos.vercel.app/photos/ICHMMG21
photos,516,Hellenistic Fountain House 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/516,https://holy-land-photos.vercel.app/photos/TXCSGUC01
photos,560,The Bowl,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/560,https://holy-land-photos.vercel.app/photos/INLGNZCT01
photos,677,Temple Complex 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/677,https://holy-land-photos.vercel.app/photos/TWLLT06
photos,678,Temple Complex 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/678,https://holy-land-photos.vercel.app/photos/TWLLT07
photos,680,Porticoes,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/680,https://holy-land-photos.vercel.app/photos/TWLLT09
photos,685,Temple of Apollo and Artemis,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/685,https://holy-land-photos.vercel.app/photos/TWLLT13
photos,867,Temple of Emperors and Zeus,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/867,https://holy-land-photos.vercel.app/photos/TSCADAD08
photos,880,TEZ Rear,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/880,https://holy-land-photos.vercel.app/photos/TSCADAD11
photos,932,Yunuslar - Roman Bridge 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/932,https://holy-land-photos.vercel.app/photos/TCSCKYPA01
photos,993,Model of the Pools of Bethesda,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/993,https://holy-land-photos.vercel.app/photos/IJNTMDEH05
photos,1001,Elite Seats,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1001,https://holy-land-photos.vercel.app/photos/JNUQTH05
photos,1023,High Place 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1023,https://holy-land-photos.vercel.app/photos/ICSHGZ14
photos,1420,Mampsis Madaba Map,inline-image; inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/1420,https://holy-land-photos.vercel.app/photos/ISNHMM03
photos,1489,Bath,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/1489,https://holy-land-photos.vercel.app/photos/GSPLCOAS04
photos,1765,Pontius Pilate Inscription 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/1765,https://holy-land-photos.vercel.app/photos/ICSPCMAR32
